,avg_completion,avg_completion,avg_completion,completion_consistency,completion_consistency,completion_consistency,finisher_ratio,finisher_ratio,finisher_ratio,genre_concentration,genre_concentration,genre_concentration,avg_content_length,avg_content_length,avg_content_length,churn_rate,churn_rate,churn_rate,publisher_concentration,publisher_concentration,publisher_concentration,viewing_consistency,viewing_consistency,viewing_consistency,num_views,num_views,num_views,age,age,age
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5674131741821946,0.5533104655517183,0.1227045159300006,0.753592709066106,0.7460003661410994,0.0449338648083408,0.3540594106070296,0.3333333333333333,0.1881446543094791,0.16039141918854222,0.16666666666666674,0.07983347500027034,5.36786068247229,5.363333333333333,0.4867504610347085,0.6690182722920819,0.6666666666666666,0.2357583394330202,0.21252362055933482,0.2,0.0784720453562878,0.6752288379996454,0.6878563919906313,0.18876196529547543,6.154761904761905,6.0,1.84769029517099,111.59623015873017,16.0,485.3753414738932
1,0.4499250306099315,0.45653533458411505,0.20503776720608008,0.6517381025343135,0.7478948457075455,0.29711143243974825,0.22829038783432543,0.2,0.2518696447491025,0.12172818254346515,0.1499999999999999,0.11927333713965792,5.168193362689323,5.11,0.8824805637000978,0.6563291416718798,0.75,0.3130807020318841,0.25644135633164705,0.2,0.11191400964391279,0.589351829746286,0.6456933275524943,0.35799022726979884,5.120070701529835,4.0,4.133540263380007,510.59974401170234,67.0,1038.884412206699
2,0.6507571222315625,0.6444024201768286,0.08929327996201497,0.7605904249158492,0.7519090656005307,0.03677860348466774,0.4603119554815305,0.4444444444444444,0.1434346904753712,0.21172315011883597,0.22222222222222232,0.06325336221927647,5.471873178006119,5.45,0.3892040046636739,0.6280160916524552,0.6666666666666666,0.21044377482543955,0.18550338550338552,0.16666666666666666,0.06368100117442398,0.5688093297526895,0.5813863408832391,0.1283779826170747,10.123543123543124,10.0,2.168407515957779,58.65034965034965,14.0,324.5836209541387
3,0.5145995661195539,0.47985425044980773,0.17825837976606235,0.7009195369367638,0.7402717815293023,0.20537208912990126,0.3104631852510212,0.25,0.28170008707583166,0.08275746223235617,0.0,0.09388558998647435,5.3530837037196655,5.424,0.6312990299065118,0.6655470649105727,0.6666666666666666,0.2570851969852191,0.2202970297029703,0.2,0.08537074678151657,0.7440261532686079,0.7773449584917057,0.3525678432241717,3.792079207920792,4.0,1.777597336564606,111.0997171145686,18.0,426.27826414844526
4,0.6296820953710828,0.6240435769902876,0.10035532033301853,0.756609172512306,0.7493853231838986,0.039164594490772274,0.43504463648511027,0.42857142857142855,0.1643785132637821,0.20472846332817796,0.20833333333333326,0.06190230281217985,5.425536220769683,5.4223333333333334,0.4170503024848801,0.6537702106388114,0.6666666666666666,0.22034367580125996,0.1960371634433068,0.16666666666666666,0.07063182974748745,0.5994631388145715,0.6043581775837035,0.14308105425770878,8.578498293515358,8.0,2.0601589344125415,73.16211604095564,15.0,343.4429936871324
5,0.7508357640822131,0.7549472723680826,0.07620283819987775,0.779762495362283,0.7753581955078014,0.03685509024293046,0.608667030148225,0.625,0.12762413351060004,0.22356505025818557,0.22916666666666652,0.053975343708033426,5.731059466626733,5.711538461538462,0.3027145197718678,0.5668087399568881,0.6,0.19782829917132333,0.16473642955124437,0.14285714285714285,0.05372804682017517,0.46213172904753014,0.47944832990150915,0.09327506501072172,14.82716049382716,15.0,2.338750325797894,16.80246913580247,12.0,18.297144417289832
6,0.4354841767541435,0.3954532762472077,0.19032985103291733,0.6678268464032908,0.7613129204527971,0.2968877784058443,0.16876087088730765,0.0,0.2693120854675905,0.05029921547162928,0.0,0.0794630198503802,5.201407817916438,5.326666666666667,0.7790207507890153,0.670950252387034,0.6666666666666666,0.2700963440486934,0.23041263759654562,0.2,0.08895468379396691,0.6600474033124992,0.7183694935847321,0.4076495209887029,2.87816091954023,3.0,1.3928023749549447,123.85977011494253,19.0,407.16744620227144
7,0.701720883664342,0.7010083287265165,0.0859831020000297,0.7702281968927659,0.7610676342235446,0.03964030567914729,0.5366945151623633,0.5333333333333333,0.1389266231221869,0.2227688694927151,0.23333333333333317,0.06604334123455942,5.594331071824902,5.57375,0.33562174109733867,0.6211000259850834,0.6666666666666666,0.20726331273300258,0.18067566745727665,0.16666666666666666,0.057503710115199,0.5165611441950094,0.5175066891201383,0.12129198932593047,11.992337164750959,12.0,2.6047181113757505,38.71647509578544,13.0,146.99370759893472
8,0.5933494360263227,0.5909374602645527,0.10824894673542049,0.7525698505308456,0.7461004390419442,0.03982245328963331,0.39501368933603365,0.375,0.169694938580175,0.18916941378872307,0.17142857142857149,0.06871917901318018,5.3969200074447325,5.402222222222223,0.449147367674431,0.6585644514215944,0.6666666666666666,0.22109145660077822,0.19798825513111226,0.16666666666666666,0.07160412830664552,0.6458836630818838,0.6524274211560342,0.16447960912385828,7.47985347985348,7.0,2.003791510762385,78.26495726495726,16.0,363.1368354383347
9,0.526798193420001,0.5071498154998662,0.1406265507447073,0.7535265395050145,0.7451714392699169,0.05475743776794484,0.31206959379387705,0.25,0.20310121844796977,0.12857503404720944,0.1499999999999999,0.09207591407277546,5.3808728494898395,5.39675,0.5550003927285044,0.6621617889324466,0.6666666666666666,0.23350048679081087,0.20850464412859018,0.2,0.07657297005112264,0.7349213791300341,0.7548476154554551,0.23550836109435203,5.096964586846543,5.0,1.8224685518201784,120.3397976391231,16.0,528.3188208111177
