cluster,size,avg_completion,completion_consistency,finisher_ratio,genre_concentration,churn_rate,viewing_consistency,num_views,avg_age
0,1008,0.5674131741821946,0.753592709066106,0.3540594106070296,0.16039141918854222,0.6690182722920819,0.6752288379996455,6.154761904761905,111.59623015873017
1,16407,0.4499250306099315,0.6517381025343135,0.22829038783432543,0.12172818254346515,0.65632914167188,0.589351829746286,5.120070701529835,510.59974401170234
2,429,0.6507571222315625,0.760590424915849,0.4603119554815304,0.21172315011883597,0.6280160916524552,0.5688093297526896,10.123543123543124,58.65034965034965
3,1414,0.5145995661195539,0.7009195369367638,0.31046318525102123,0.08275746223235617,0.6655470649105727,0.7440261532686078,3.792079207920792,111.0997171145686
4,586,0.6296820953710828,0.756609172512306,0.43504463648511027,0.20472846332817798,0.6537702106388114,0.5994631388145715,8.578498293515358,73.16211604095564
5,81,0.7508357640822132,0.7797624953622831,0.608667030148225,0.22356505025818557,0.5668087399568881,0.46213172904753014,14.82716049382716,16.80246913580247
6,1305,0.4354841767541435,0.6678268464032908,0.16876087088730765,0.05029921547162928,0.670950252387034,0.6600474033124993,2.87816091954023,123.85977011494253
7,261,0.7017208836643422,0.7702281968927658,0.5366945151623632,0.2227688694927151,0.6211000259850834,0.5165611441950093,11.992337164750959,38.71647509578544
8,819,0.5933494360263227,0.7525698505308456,0.39501368933603365,0.18916941378872307,0.6585644514215941,0.6458836630818836,7.47985347985348,78.26495726495726
9,1186,0.5267981934200009,0.7535265395050145,0.3120695937938771,0.12857503404720944,0.6621617889324466,0.734921379130034,5.096964586846543,120.3397976391231
