adventurer_id,cluster,age,gender,region,total_views,total_seconds,avg_completion,unique_publishers,total_subscriptions
ymv1,1,21,M,Puddington,21,4129.0,0.4339604137507198,7,10
czpp,4,18,F,Jamshire,10,1731.0,0.4157337064592538,5,5
qcsi,4,12,M,Puddington,15,2755.0,0.39470346139174245,5,8
zo12,4,14,F,Puddington,11,1857.0,0.37679328909144333,7,8
9rvq,1,11,M,Puddington,13,2906.0,0.558350194121127,2,2
jxhz,4,12,F,Greycliffs,12,2131.0,0.42322856365633127,5,5
cqqi,4,20,F,Greycliffs,13,2341.0,0.4009757109969558,7,8
5hkk,6,52,M,Shield Barrow,23,5201.0,0.5550638884193024,4,5
k5zw,6,67,F,Duelburg,19,6161.0,0.7479589975016185,5,6
cacl,4,20,F,Jamshire,25,4059.0,0.39300228380987307,7,9
gzxf,6,34,F,Shield Barrow,23,4993.0,0.5783365552020122,5,5
64mi,6,49,M,Narathil,24,7028.0,0.6944645909879529,4,5
anea,4,17,M,Sugarbrook,23,4124.0,0.448123701624414,6,8
3uk9,4,14,M,Jamshire,13,2123.0,0.3584113378758078,5,7
fgwx,4,22,F,Jamshire,22,4858.0,0.5495226564295491,4,5
57op,4,23,F,Greycliffs,22,5027.0,0.5529336221597995,5,5
vlvc,4,16,F,Puddington,20,4878.0,0.5950939946596986,5,5
99d4,4,19,F,Sugarbrook,12,3666.0,0.6992023314548524,5,5
cgut,6,77,M,Narathil,23,5113.0,0.646025312552749,4,5
s2or,3,15,M,Jamshire,11,2888.0,0.6022006008383524,5,6
z4m5,6,25,M,Duelburg,10,1611.0,0.39901637166671416,3,3
pqy5,4,27,M,Sugarbrook,14,2749.0,0.46273498782083156,4,6
na2h,1,13,F,Puddington,11,1492.0,0.36422398243567405,3,3
8ak8,4,23,F,Puddington,13,3193.0,0.5520204780609163,4,4
m2lq,4,24,M,Puddington,14,3283.0,0.5694186048412047,5,7
2gml,4,17,F,Greycliffs,17,4051.0,0.5781444738006812,5,6
h887,4,27,F,Jamshire,13,3068.0,0.5857781436248365,7,10
wla3,4,16,F,Puddington,21,6026.0,0.6820118052726221,5,5
eof4,4,27,F,Puddington,27,7960.0,0.7075732005576221,5,6
ntpd,4,17,M,Greycliffs,15,2649.0,0.433035342642866,5,6
x9vw,1,13,M,Greycliffs,14,3407.0,0.6319027851617516,2,2
8mvw,4,15,F,Gelatina Grove,15,3965.0,0.5980798679953573,3,7
