adventurer_id,age,total_watch_time,avg_watch_time,num_views,avg_completion_rate,median_completion_rate,unique_content,num_subscriptions,num_publishers,num_churns,genre_diversity,lang_diversity,cluster
642w,88,11.0,11.0,1.0,0.07452574525745258,0.07452574525745258,1.0,1,1,0.0,1.0,1.0,6
64bi,17,12341.0,241.98039215686273,51.0,0.6151246394585402,0.6710310965630114,51.0,15,9,11.0,8.0,2.0,4
6534,27,1527.0,169.66666666666666,9.0,0.47262207712811705,0.3312841530054645,9.0,7,6,6.0,4.0,1.0,1
6536,24,5083.0,203.32,25.0,0.4972685872566499,0.47157622739018085,25.0,13,8,11.0,7.0,2.0,4
657z,47,204.0,102.0,2.0,0.36854913365063635,0.36854913365063635,2.0,3,3,3.0,1.0,2.0,6
661d,30,415.0,138.33333333333334,3.0,0.513497374025874,0.5623306233062331,3.0,1,1,0.0,2.0,1.0,3
7dva,27,518.0,259.0,2.0,0.8387950240187374,0.8387950240187374,2.0,3,3,1.0,1.0,2.0,3
66ch,27,305.0,305.0,1.0,0.985142118863049,0.985142118863049,1.0,5,4,3.0,1.0,1.0,3
66v6,69,758.0,126.33333333333333,6.0,0.511312877364135,0.506958005404659,6.0,3,3,3.0,4.0,1.0,1
66wx,78,289.0,144.5,2.0,0.46574233700285816,0.46574233700285816,2.0,4,3,2.0,1.0,1.0,6
675g,61,462.0,154.0,3.0,0.4665915818879585,0.32833690221270523,3.0,1,1,0.0,2.0,1.0,3
679p,71,101.0,25.25,4.0,0.07470063837450694,0.06827863161252791,4.0,4,4,3.0,4.0,1.0,6
67hg,36,1502.0,150.2,10.0,0.4758272951886763,0.4625199362041468,10.0,7,4,6.0,4.0,1.0,1
67k4,21,2301.0,209.1818181818182,11.0,0.6403142877463381,0.7926829268292683,11.0,3,3,2.0,6.0,1.0,1
67l7,83,1468.0,209.71428571428572,7.0,0.7135743813565778,0.8074074074074075,7.0,6,3,6.0,5.0,1.0,1
67o5,556,562.0,112.4,5.0,0.33726472909819133,0.352328431372549,5.0,2,2,2.0,2.0,1.0,6
67qi,258,1290.0,129.0,10.0,0.4224406462433533,0.392605849652974,10.0,7,7,7.0,5.0,1.0,5
67zu,45,601.0,120.2,5.0,0.37079426603766874,0.33884297520661155,5.0,7,6,7.0,4.0,1.0,2
68cx,19,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0
68uk,21,1122.0,140.25,8.0,0.35349489333732825,0.3825964062184535,8.0,6,6,5.0,5.0,2.0,5
6949,52,872.0,218.0,4.0,0.6076537766900956,0.6400268473742945,4.0,7,5,6.0,4.0,1.0,2
696t,78,1454.0,161.55555555555554,9.0,0.5809816369523226,0.5523255813953488,9.0,17,9,15.0,5.0,2.0,5
69oz,296,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0
69qv,57,241.0,120.5,2.0,0.4502532437691277,0.4502532437691277,2.0,4,3,4.0,2.0,2.0,6
6a88,12,540.0,90.0,6.0,0.24335011514722896,0.17060100393433728,6.0,6,5,6.0,5.0,1.0,2
6ad7,66,241.0,120.5,2.0,0.4432364259934996,0.4432364259934996,2.0,10,7,10.0,2.0,1.0,2
6api,31,2197.0,146.46666666666667,15.0,0.4396176942659343,0.25219298245614036,15.0,6,3,5.0,6.0,1.0,4
6apq,52,2232.0,171.69230769230768,13.0,0.5244341553139091,0.5174385363064609,13.0,9,6,8.0,6.0,1.0,4
