adventurer_id,age,total_watch_time,avg_watch_time,num_views,viewing_time_std,avg_completion_rate,median_completion_rate,completion_std,unique_content,completion_consistency,viewing_consistency,num_subscriptions,num_publishers,publisher_concentration,churn_rate,avg_content_length,genre_concentration,finisher_ratio,is_active,cluster
642w,88,11.0,11.0,1.0,0.0,0.07452574525745258,0.07452574525745258,0.0,1.0,1.0,0.0,1,1,0.5,0.0,2.46,0.0,0.0,1,2
64bi,17,12341.0,241.98039215686273,51.0,139.85814101382564,0.6151246394585402,0.6710310965630114,0.3130057042245544,51.0,0.7616113142407009,0.5755943505249441,15,9,0.1,0.7333333333333333,6.533725490196078,0.24754901960784315,0.4117647058823529,1,0
6534,27,1527.0,169.66666666666666,9.0,132.63577948653221,0.47262207712811705,0.3312841530054645,0.3408191173401536,9.0,0.7458127551043182,0.7771627704288997,7,6,0.14285714285714285,0.8571428571428571,5.735555555555555,0.25,0.3333333333333333,1,0
6536,24,5083.0,203.32,25.0,134.22019222158787,0.4972685872566499,0.47157622739018085,0.30092845734823126,25.0,0.768681778272701,0.6569116690563228,13,8,0.1111111111111111,0.8461538461538461,6.7104,0.27428571428571424,0.16,1,0
657z,47,204.0,102.0,2.0,38.18376618407357,0.36854913365063635,0.36854913365063635,0.1426703624459079,2.0,0.8751430271276843,0.3707161765444036,3,3,0.25,1.0,4.625,0.0,0.0,1,2
661d,30,415.0,138.33333333333334,3.0,134.8047971451066,0.513497374025874,0.5623306233062331,0.3103229116929268,3.0,0.763170658985126,0.9674985441036358,1,1,0.5,0.0,4.08,0.16666666666666674,0.0,1,2
7dva,27,518.0,259.0,2.0,35.35533905932738,0.8387950240187374,0.8387950240187374,0.018007690775319093,2.0,0.9823108499685259,0.1359820733051053,3,3,0.25,0.3333333333333333,5.155,0.0,1.0,1,0
66ch,27,305.0,305.0,1.0,0.0,0.985142118863049,0.985142118863049,0.0,1.0,1.0,0.0,5,4,0.2,0.6,5.16,0.0,1.0,1,0
66v6,69,758.0,126.33333333333333,6.0,109.5238178053827,0.511312877364135,0.506958005404659,0.4498923500745634,6.0,0.6897063771310837,0.8601346948066705,3,3,0.25,1.0,4.871666666666667,0.16666666666666674,0.5,1,0
66wx,78,289.0,144.5,2.0,75.66042558696059,0.46574233700285816,0.46574233700285816,0.2405518060521678,2.0,0.8060928976294182,0.5200029249962926,4,3,0.25,0.5,5.16,0.0,0.0,1,2
