adventurer_id,cluster,age,avg_completion,completion_std,median_completion,num_views,completion_consistency,finisher_ratio,genre_concentration,avg_content_length,num_subs,num_churns,churn_rate,num_publishers,publisher_concentration,viewing_time_std,viewing_time_mean,viewing_consistency
113g,1,264,0.5908716213284742,0.3610235845808188,0.5908716213284742,2,0.7347411252303829,0.5,0.0,4.905,5,4.0,0.8,4,0.2,55.86143571373726,158.5,0.35022843707672263
113y,1,4181,0.11994949494949494,0.0,0.11994949494949494,1,0.0,0.0,0.0,2.64,1,0.0,0.0,1,0.5,0.0,19.0,0.0
114t,1,2458,0.15112262521588946,0.0,0.15112262521588946,1,0.0,0.0,0.0,3.86,1,0.0,0.0,1,0.5,0.0,35.0,0.0
114z,1,117,0.3496081977094635,0.0,0.3496081977094635,1,0.0,0.0,0.0,5.53,5,3.0,0.6,4,0.2,0.0,116.0,0.0
115m,1,35,0.13670738801628854,0.0,0.13670738801628854,1,0.0,0.0,0.0,5.73,2,2.0,1.0,2,0.3333333333333333,0.0,47.0,0.0
115z,6,22,0.43811274509803916,0.0,0.43811274509803916,1,0.0,0.0,0.0,5.44,4,3.0,0.75,4,0.2,0.0,143.0,0.0
116l,9,21,0.504354739521255,0.38956648026362983,0.34868841970569414,7,0.7196489079171506,0.42857142857142855,0.17142857142857149,4.615714285714286,9,7.0,0.7777777777777778,7,0.125,139.40332031298865,153.57142857142858,0.9018699096034385
1174,8,14,0.4637787829189047,0.3211368810957818,0.3949116029705937,8,0.7569238390881774,0.25,0.15000000000000013,5.195,6,5.0,0.8333333333333334,5,0.16666666666666666,117.87152509648556,140.625,0.8322790827642405
117l,1,2399,0.5366046697445002,0.3970907656051256,0.5691809806571482,4,0.7157731083898958,0.25,0.16666666666666674,4.2325,4,3.0,0.75,4,0.2,126.46837549363873,145.75,0.8617947222735177
117r,1,28,0.2545679242773849,0.24385023304781306,0.17356475300400534,9,0.8039553102383511,0.1111111111111111,0.2407407407407407,6.434444444444445,5,4.0,0.8,5,0.16666666666666666,131.21928211966411,108.66666666666667,1.1965284083859948
119x,1,2467,0.4547741222542001,0.2463733458610808,0.5540353366440323,8,0.8023278123852455,0.0,0.25,5.0337499999999995,5,3.0,0.6,4,0.2,75.60376029952856,136.75,0.5488476246789732
11a4,1,21,0.4820944897758866,0.37645728976516313,0.4100726460640254,4,0.7265027454434199,0.25,0.16666666666666674,5.925,5,4.0,0.8,4,0.2,174.0009578517697,195.5,0.8855010577698204
11ak,1,11,0.16265551823845834,0.13328790635976107,0.12866541749220609,4,0.8823883096150776,0.0,0.16666666666666674,6.0875,5,4.0,0.8,5,0.16666666666666666,59.65665651598878,64.25,0.9142782607814373
11bt,8,17,0.6395543139733506,0.42654031122489083,0.8662374577977237,6,0.700996664539648,0.6666666666666666,0.16666666666666674,5.473333333333334,5,4.0,0.8,5,0.16666666666666666,150.12583610646993,216.83333333333334,0.689177518468875
11dy,1,36,0.520547022761135,0.42190429814394054,0.4363084339343533,6,0.7032822119641481,0.3333333333333333,0.25,5.041666666666667,8,7.0,0.875,6,0.14285714285714285,135.25001540357275,161.83333333333334,0.8306039840546944
11fd,1,81,0.14615331396153314,0.007582783387568493,0.14615331396153314,2,0.9924742824980844,0.0,0.0,4.335,8,7.0,0.875,4,0.2,1.4142135623730951,38.0,0.03626188621469475
11ir,1,88,0.36540224371521846,0.4223740798374833,0.20942491004355784,4,0.703049931923856,0.25,0.16666666666666674,5.1875,3,1.0,0.3333333333333333,3,0.25,148.6660127040923,119.75,1.2311885110069756
